acc	R1	R2
SRR1568013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568013/SRR1568013_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568013/SRR1568013_2.fastq.gz
SRR1565077	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1565077/SRR1565077_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1565077/SRR1565077_2.fastq.gz
SRR1568114	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1568114/SRR1568114_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1568114/SRR1568114_2.fastq.gz
SRR1562516	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1562516/SRR1562516_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1562516/SRR1562516_2.fastq.gz
SRR1565050	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1565050/SRR1565050_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1565050/SRR1565050_2.fastq.gz
SRR1564577	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1564577/SRR1564577_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1564577/SRR1564577_2.fastq.gz
SRR1564977	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1564977/SRR1564977_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1564977/SRR1564977_2.fastq.gz
SRR1565024	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1565024/SRR1565024_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1565024/SRR1565024_2.fastq.gz
SRR1568077	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1568077/SRR1568077_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1568077/SRR1568077_2.fastq.gz
SRR1565013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1565013/SRR1565013_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1565013/SRR1565013_2.fastq.gz
SRR1568126	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1568126/SRR1568126_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1568126/SRR1568126_2.fastq.gz
SRR1562839	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1562839/SRR1562839_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1562839/SRR1562839_2.fastq.gz
SRR1564992	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564992/SRR1564992_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564992/SRR1564992_2.fastq.gz
SRR1565014	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1565014/SRR1565014_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1565014/SRR1565014_2.fastq.gz
SRR1568201	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568201/SRR1568201_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568201/SRR1568201_2.fastq.gz
SRR1565086	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1565086/SRR1565086_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1565086/SRR1565086_2.fastq.gz
SRR1568158	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568158/SRR1568158_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568158/SRR1568158_2.fastq.gz
SRR1562526	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1562526/SRR1562526_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1562526/SRR1562526_2.fastq.gz
SRR1565003	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1565003/SRR1565003_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1565003/SRR1565003_2.fastq.gz
